image_id,verdict,reason
W1729156509_1,bad,very faint thin arc only
W1729156533_1,bad,dark frame with limb line and only faint thin ring sliver
W1729156550_1,bad,thin faint arc only on dark frame
W1729156567_1,bad,thin foreshortened arc only
W1729157397_1,bad,mostly dark with narrow ring sliver at frame edge
W1732750432_1,bad,polar hexagon disk dominates with only small ring wedge in corner
W1732754632_1,bad,polar hexagon disk dominates with only small ring sliver
W1732756113_1,bad,Saturn polar atmosphere fills frame no rings
W1732756132_1,bad,Saturn hexagon atmosphere fills frame no rings
W1732756150_1,bad,featureless disk atmosphere fills frame no rings
W1732756167_1,bad,featureless disk atmosphere fills frame no rings
W1732756184_1,bad,featureless disk atmosphere fills frame no rings
W1732756242_1,bad,Saturn atmosphere fills frame no rings
W1732758832_1,bad,Saturn polar atmosphere dominates no rings
W1732773584_1,bad,Saturn disk fills frame no ring features
W1732778945_1,bad,smooth disk limb against dark sky no rings
W1732778964_1,bad,polar disk dominates frame no ring features
W1732778982_1,bad,bright disk dominates frame no ring features
W1732778999_1,bad,bright disk dominates frame no ring features
W1733512914_1,marginal,ring band and gap edge in corner but soft and low contrast
W1733512948_1,marginal,ring band with gap edge confined to corner low contrast
W1733512965_1,bad,rings barely discernible in faint corner glow
W1733819822_1,marginal,disk dominates with ringlets compressed at frame edge
W1733819854_1,marginal,disk dominates with foreshortened ringlet strip at edge
W1736035345_1,bad,dark frame with only thin bright limb arc no ring structure
W1736035410_1,bad,single thin bright line only
W1736035474_1,bad,dark frame with only thin bright limb arc no ring structure
W1736035613_1,bad,dark frame with only thin bright limb arc no ring structure
W1736035734_1,bad,dark frame with only thin bright limb arc no ring structure
W1736225610_1,marginal,disk dominates with weak dark ring bands in corner
W1736230628_1,bad,smooth disk with thin foreshortened band at bottom
W1736230662_1,bad,saturated disk with only thin bands at bottom
W1737189026_1,bad,saturated blown-out gradient no features
W1737189151_1,bad,smooth glare gradient no ring features
W1737189232_1,bad,smooth glare gradient with saturated region no rings
W1737189313_1,bad,smooth glare gradient with saturated region no rings
W1737786689_1,good,bright striated ring band and sharp gap arcs over disk
W1737790255_1,good,distinct ring arcs with striations and crisp gap edges
W1741129397_1,good,striated bright band and well defined gap edges
W1741173197_1,good,clear ring arcs and gap edges with fine banding
W1745007975_1,good,multiple crisp ringlet arcs and gap edges across frame
W1746262100_1,bad,Saturn polar disk dominates ring features hidden
W1749083414_1,bad,disk atmosphere fills frame no ring features
W1749083513_1,bad,featureless disk fills frame no ring features
W1749083768_1,bad,Saturn disk dominates with only thin ring sliver at right edge
W1750045119_1,marginal,disk dominates but corner ring bands with gap are sharp
W1750045153_1,marginal,disk dominates with sharp ring bands and gap in corner
W1750045170_1,bad,saturated disk band dominates and ring corner nearly featureless
W1750523322_1,marginal,mostly dark with faint low-contrast ring arcs in top corner
W1750944675_1,bad,polar hexagon atmosphere shot with no rings
W1750944692_1,bad,polar atmosphere shot with no rings
W1750951549_1,bad,polar hexagon shot with no ring features
W1750951573_1,bad,polar hexagon shot with no ring features
W1750953761_1,bad,polar disk shot with only faint edge-on streaks in corner
W1750953778_1,bad,polar disk shot with only faint edge-on streaks in corner
W1750953795_1,bad,polar hexagon disk dominates with tiny ring corner sliver
W1750953812_1,bad,disk dominates frame with only faint corner ring sliver
W1750953829_1,bad,dark disk-dominated frame with tiny corner ring sliver
W1750954984_1,bad,disk fills frame with only faint foreshortened lines at edge
W1750955001_1,bad,disk fills frame with only faint foreshortened lines at edge
W1752981902_1,bad,frame mostly dark with only thin ring sliver at edge
W1752981919_1,bad,mostly black with thin foreshortened ring line in corner
W1753145795_1,bad,disk dominates with thin faint ring band at right edge
W1753145812_1,bad,disk dominates and ring is a narrow edge sliver
W1753145844_1,bad,disk dominates with near edge-on thin ring lines at right
W1753145861_1,bad,disk dominates and rings are faint foreshortened lines
W1753145918_1,bad,disk dominates and rings are faint foreshortened lines
W1764696612_1,good,wide ring shot with crisp banding and sharp gap edges
W1764696636_1,good,bright B ring and gap edges with fine sharp banding
W1764696655_1,good,crisp ring bands and gap edges across frame
W1764696672_1,good,sharp ring banding with clear gap and edge structure
W1766848316_1,marginal,small ring arc in corner with sharp edge but tiny coverage
W1770470363_1,bad,noisy mottled texture with no ring features
W1773259514_1,bad,single bright crescent limb arc with no ring structure
W1783956855_1,marginal,disk dominates but left side shows discernible ring bands
W1783956889_1,marginal,disk dominates though edge-on ring stripes at left are sharp
W1783956906_1,bad,disk dominates and ring stripe saturated with weak features
W1792329488_1,bad,disk dominates and rings only a thin foreshortened line
W1802263553_1,good,crisp ringlet banding across upper half
W1802263588_1,good,many sharp ringlet bands despite saturated lower half
W1802263653_1,good,sharp ringlet banding over upper half
W1802265821_1,good,crisp ringlet bands in upper half
W1812154531_1,bad,crescent disk with rings as thin edge-on line
W1815069219_1,bad,black frame with only a thin edge-on ring line
W1816834913_1,bad,featureless flat-field texture with no rings discernible
W1816871150_1,bad,black frame with short thin edge-on line only
W1817020846_1,bad,crescent Saturn with no rings
W1817020880_1,bad,dark crescent Saturn with no ring features
W1817020897_1,bad,dark crescent Saturn with no ring features
W1821763173_1,bad,crescent disk dominates with edge-on thin ring line
W1821830554_1,bad,saturated disk dominates and ring is a thin edge-on line
W1823118496_1,bad,dark smeared glow with vertical streaks and no ring features
W1827940616_1,bad,edge-on thin ring line over diffuse glow
W1827940650_1,bad,diffuse glow with ring as single thin edge-on line
W1827940667_1,bad,ring is only a thin foreshortened bright line on dark frame
W1827946016_1,bad,edge-on thin ring line with only smeared corner banding
W1827946050_1,bad,edge-on bright ring line over smeared glow
W1827946067_1,bad,edge-on thin ring line with diffuse haze
W1828201318_1,bad,edge-on thin ring line over featureless noisy gradient
W1828201352_1,bad,noisy gradient with thin edge-on ring line
W1828201369_1,bad,hazy frame with thin edge-on ring line
W1841028909_1,marginal,ring bands over bright disk but low contrast and disk glare dominates
W1841032507_1,marginal,curved ring bands upper left but soft and washed by saturated disk
W1841032540_1,marginal,faint ring striations against bright disk with weak contrast
W1841042702_1,marginal,ring bands barely visible over saturated gradient
W1841042719_1,marginal,faint soft ring bands with most of frame a bright gradient
W1852124652_1,bad,Saturn polar atmosphere fills frame with no rings visible
W1865184220_1,marginal,ring segment at right edge partly saturated with weak banding
W1865184237_1,marginal,narrow foreshortened ring arc at edge with one sharp bright band
W1865184256_1,bad,saturated blowout and lens ghost artifacts with no clean ring features
W1865184273_1,marginal,ring segment confined to right edge with saturated bright band and only faint banding
W1865187543_1,good,ring arc with distinct sharp bands and edges against dark sky
W1867551971_1,bad,Saturn atmosphere dominates frame and no rings discernible
W1868287105_1,bad,frame black except thin ring sliver in bottom-left corner
W1870764071_1,marginal,saturated ansa arc with only faint band fan below
W1870764088_1,marginal,thin bright arc with faint band fan and weak contrast
W1870764107_1,marginal,arc edge sharp but heavily saturated and red-flooded frame drowns structure
W1870764124_1,marginal,thin arc with faint reddish band fan and low contrast
W1870773144_1,marginal,ring arc only a sliver at bottom edge though ringlet edge is crisp
W1870773161_1,marginal,bottom-edge arc sliver with modest band structure
W1871866084_1,marginal,ring striations at right but dark low contrast and disk dominates
W1871866101_1,marginal,ring band with striations at right but soft and disk dominates
W1872479866_1,good,many crisp ring bands and gap edges across frame
W1876352158_1,bad,mostly dark noise speckle with only tiny corner sliver
W1877365637_1,bad,Saturn disk and atmosphere fill frame with no rings discernible
W1877366237_1,bad,dark frame with only Saturn limb glow and no ring features
W1881936401_1,bad,dark frame with thin faint line and saturated corner sliver
W1881937543_1,bad,black frame with tiny saturated sliver in corner
W1882017920_1,bad,smeared streaky frame with no sharp ring features
W1882018459_1,bad,smeared streaky frame with no sharp ring features
W1882018531_1,bad,completely black featureless frame
W1882018555_1,bad,blown-out white frame with jagged saturation artifacts
W1882018572_1,bad,saturated white frame with diffuse cloud patches and no ring features
W1882018589_1,bad,heavy saturation and smeared streaks hide any ring structure
W1882041721_1,marginal,edge-on ring strip with sharp linear edges but dominating atmosphere backdrop
W1882041793_1,bad,frame entirely black
W1882041817_1,marginal,edge-on ring strip and shadow lane distinct but atmosphere dominates
W1882042260_1,bad,heavily smeared with only blurred vertical band
W1882042332_1,bad,completely black featureless frame
W1882042356_1,bad,frame mostly blown white and ring stripe faint
W1882042373_1,bad,saturated white frame with smeared reddish patches only
W1882042390_1,marginal,ring strip and shadow edges visible but large areas saturated
W1882042414_1,bad,frame almost entirely white with one small dark blob
W1882042446_1,bad,frame entirely black
W1882052460_1,bad,heavily smeared with only blurred vertical band
W1882052532_1,bad,completely black featureless frame
W1882052556_1,marginal,bright edge-on ring strip with dark lane against mottled disk
W1882052573_1,bad,washed-out white frame with weak diffuse band only
W1882052590_1,marginal,ring strip and dark lane discernible amid saturated background
W1882052614_1,bad,white saturated frame with only speckle blobs
W1882052646_1,bad,frame entirely black
W1883585911_1,marginal,faint ring striations at right while disk dominates
W1883585928_1,marginal,dark ring striations at right while bright disk dominates
W1883585946_1,marginal,ring striations at right but low contrast and disk dominates
W1883585978_1,marginal,ring band saturated white with washed-out striations
W1883611779_1,good,sharp ring bands and distinct gap edges with strong contrast
